ECTRL ID,ADEP,ADES,AC Operator,cluster_kmeans,actual_total_dist_nm,planned_dist_nm,delta_dist_nm_self,delta_duration_h_self,delta_fuel_kg_self
265035743,LTFM,EBBR,THY,3,1189.7,4195.0,-3005.3,-6.5789,-40789.1
265446645,LTFM,EBBR,THY,1,1213.5,1228.8,-15.3,0.1184,331.4
265122474,LTFM,EBBR,THY,1,1186.6,1198.3,-11.7,-0.0167,-40.0
265594025,LTFM,EBBR,THY,2,1173.7,1178.8,-5.1,0.0167,46.7
265606464,LTFM,EBBR,THY,2,1173.7,1178.8,-5.1,0.0667,186.7
265712485,LTFM,EBBR,THY,1,1170.6,1175.2,-4.6,-0.02,-56.0
265821702,LTFM,EBBR,THY,1,1171.1,1175.2,-4.1,0.0333,83.3
265681125,LTFM,EBBR,THY,1,1173.3,1177.3,-4.0,0.0375,93.8
265197267,LTFM,EBBR,THY,1,1173.0,1176.9,-3.9,-0.0167,-35.0
265429058,LTFM,EBBR,THY,2,1176.3,1178.8,-2.5,0.0316,88.6
265305458,LTFM,EBBR,THY,0,1176.5,1178.8,-2.3,-0.05,-300.0
265236980,LTFM,EBBR,THY,2,1176.7,1178.8,-2.1,-0.0675,-168.8
265198726,LTFM,EBBR,THY,1,1166.4,1168.4,-2.0,0.0,0.0
265732482,LTFM,EBBR,THY,1,1166.5,1168.4,-1.9,0.0834,200.0
265329089,LTFM,EBBR,THY,1,1166.7,1168.4,-1.7,-0.0147,-41.2
265463309,LTFM,EBBR,THY,2,1177.3,1178.8,-1.5,0.0666,166.6
265302411,LTFM,EBBR,THY,3,1168.5,1169.8,-1.3,-0.0167,-41.7
265017040,LTFM,EBBR,THY,1,1167.2,1168.4,-1.2,0.0667,160.0
265192158,LTFM,EBBR,THY,1,1167.2,1168.4,-1.2,0.0372,104.2
265700261,LTFM,EBBR,THY,1,1167.2,1168.4,-1.2,0.13,312.0
265796311,LTFM,EBBR,THY,1,1181.8,1183.0,-1.2,0.0333,83.3
265049424,LTFM,EBBR,THY,1,1167.3,1168.4,-1.1,0.0167,40.0
265456792,LTFM,EBBR,THY,1,1167.4,1168.4,-1.0,0.0847,211.8
265616949,LTFM,EBBR,THY,1,1167.4,1168.4,-1.0,0.0166,41.6
265762233,LTFM,EBBR,THY,1,1167.4,1168.4,-1.0,0.0833,200.0
265828742,LTFM,EBBR,THY,1,1168.8,1169.8,-1.0,0.0666,160.0
265476433,LTFM,EBBR,THY,1,1167.5,1168.4,-0.9,0.1167,280.0
265648281,LTFM,EBBR,THY,1,1167.5,1168.4,-0.9,0.05,140.0
265784629,LTFM,EBBR,THY,1,1167.5,1168.4,-0.9,0.1334,320.0
265101327,LTFM,EBBR,THY,1,1167.6,1168.4,-0.8,-0.0167,-46.7
265157245,LTFM,EBBR,THY,1,1167.6,1168.4,-0.8,0.05,140.0
265392917,LTFM,EBBR,THY,1,1183.2,1183.9,-0.7,0.0923,553.3
265072649,LTFM,EBBR,THY,1,1167.8,1168.4,-0.6,0.052,124.7
265654892,LTFM,EBBR,THY,3,1169.2,1169.8,-0.6,0.05,140.0
265694148,LTFM,EBBR,THY,0,1169.5,1169.8,-0.3,-0.0325,-201.5
265157804,LTFM,EBBR,THY,1,1168.2,1168.4,-0.2,0.0167,40.0
265495370,LTFM,EBBR,THY,3,1169.6,1169.8,-0.2,0.1416,396.6
265756716,LTFM,EBBR,THY,0,1169.6,1169.8,-0.2,0.0,0.0
265407465,LTFM,EBBR,THY,2,1172.2,1172.3,-0.1,0.0167,41.7
264893235,LTFM,EBBR,THY,1,1168.4,1168.4,0.0,0.0667,166.7
265346816,LTFM,EBBR,THY,3,1169.8,1169.8,0.0,0.05,140.0
265569888,LTFM,EBBR,THY,3,1169.8,1169.8,0.0,0.0736,206.1
265554556,LTFM,EBBR,THY,1,1177.4,1177.3,0.1,0.083,232.5
265161612,LTFM,EBBR,THY,0,1170.0,1169.8,0.2,-0.0667,-413.3
265503156,LTFM,EBBR,THY,3,1170.0,1169.8,0.2,0.0289,72.2
264871595,LTFM,EBBR,THY,1,1168.7,1168.4,0.3,0.0666,186.6
265389880,LTFM,EBBR,THY,1,1168.7,1168.4,0.3,0.1833,513.3
265521563,LTFM,EBBR,THY,1,1168.8,1168.4,0.4,0.0223,62.3
265116385,LTFM,EBBR,THY,1,1177.4,1176.9,0.5,0.0786,220.1
265414166,LTFM,EBBR,THY,1,1168.9,1168.4,0.5,0.0333,93.3
265295904,LTFM,EBBR,THY,1,1169.0,1168.4,0.6,0.0833,233.3
265688339,LTFM,EBBR,THY,3,1170.5,1169.8,0.7,0.0511,127.8
265832388,LTFM,EBBR,THY,1,1169.1,1168.4,0.7,0.0833,233.3
265601274,LTFM,EBBR,THY,2,1185.2,1184.4,0.8,0.0333,83.3
265780637,LTFM,EBBR,THY,1,1169.2,1168.4,0.8,0.0333,93.3
265719088,LTFM,EBBR,THY,3,1170.9,1169.8,1.1,0.0444,111.1
265202908,LTFM,EBBR,THY,2,1180.3,1178.8,1.5,-0.0548,-136.8
265508764,LTFM,EBBR,THY,3,1171.4,1169.8,1.6,0.1169,280.7
265629875,LTFM,EBBR,THY,0,1171.6,1169.8,1.8,-0.0834,-516.6
265662867,LTFM,EBBR,THY,3,1171.7,1169.8,1.9,0.0361,90.3
265528168,LTFM,EBBR,THY,3,1172.1,1169.8,2.3,0.0219,61.4
265668296,LTFM,EBBR,THY,1,1170.7,1168.4,2.3,0.0333,80.0
265262538,LTFM,EBBR,THY,1,1191.4,1189.0,2.4,0.0,0.0
264887281,LTFM,EBBR,THY,0,1175.1,1172.5,2.6,0.085,510.0
265161524,LTFM,EBBR,THY,3,1172.4,1169.8,2.6,0.0166,46.6
265316293,LTFM,EBBR,THY,1,1171.7,1168.4,3.3,0.0167,43.3
265622807,LTFM,EBBR,THY,2,1188.4,1184.4,4.0,0.0667,186.7
265727409,LTFM,EBBR,THY,3,1173.8,1169.8,4.0,-0.0289,-72.3
265749832,LTFM,EBBR,THY,1,1172.4,1168.4,4.0,0.05,140.0
265335947,LTFM,EBBR,THY,3,1174.0,1169.8,4.2,0.0006,1.4
265749864,LTFM,EBBR,THY,1,1179.7,1175.2,4.5,-0.0167,-41.7
264916522,LTFM,EBBR,THY,2,1183.4,1178.8,4.6,0.05,125.0
265530004,LTFM,EBBR,THY,1,1173.6,1168.4,5.2,-0.075,-450.0
264917073,LTFM,EBBR,THY,2,1184.9,1178.8,6.1,0.0333,93.3
265380794,LTFM,EBBR,THY,1,1174.8,1168.4,6.4,0.05,140.0
265430382,LTFM,EBBR,THY,2,1178.5,1172.0,6.5,0.1323,330.6
265230183,LTFM,EBBR,THY,2,1185.8,1178.8,7.0,0.0203,56.8
264879590,LTFM,EBBR,THY,2,1186.1,1178.8,7.3,0.0666,166.6
265786758,LTFM,EBBR,THY,3,1178.7,1171.3,7.4,0.0334,93.4
265561432,LTFM,EBBR,THY,2,1186.3,1178.8,7.5,0.1136,284.0
265061966,LTFM,EBBR,THY,1,1176.0,1168.4,7.6,0.1,280.0
264903469,LTFM,EBBR,THY,2,1180.5,1172.5,8.0,0.0833,233.3
265203484,LTFM,EBBR,THY,0,1180.0,1172.0,8.0,0.1167,700.0
265575289,LTFM,EBBR,THY,1,1185.3,1177.3,8.0,0.1667,400.0
265376624,LTFM,EBBR,THY,2,1187.1,1178.8,8.3,0.05,105.0
265814512,LTFM,EBBR,THY,2,1186.1,1177.7,8.4,0.1333,333.3
265535562,LTFM,EBBR,THY,0,1178.3,1169.8,8.5,0.0127,79.3
265542722,LTFM,EBBR,THY,1,1179.7,1171.1,8.6,0.1175,282.0
265311820,LTFM,EBBR,THY,0,1181.0,1172.0,9.0,-0.0,0.0
265470485,LTFM,EBBR,THY,0,1178.8,1169.8,9.0,0.0,0.0
264887994,LTFM,EBBR,THY,2,1188.0,1178.8,9.2,0.0439,109.7
264922333,LTFM,EBBR,THY,1,1178.7,1168.4,10.3,0.1,250.0
265421877,LTFM,EBBR,THY,1,1179.0,1168.4,10.6,0.1703,408.7
265587793,LTFM,EBBR,THY,2,1189.4,1178.8,10.6,0.0666,186.6
265389093,LTFM,EBBR,THY,0,1180.8,1169.8,11.0,0.0667,400.0
265488751,LTFM,EBBR,THY,1,1179.4,1168.4,11.0,0.1667,466.7
265181766,LTFM,EBBR,THY,2,1183.2,1172.1,11.1,0.0666,166.6
264947122,LTFM,EBBR,THY,1,1203.7,1189.0,14.7,0.15,375.0
265635998,LTFM,EBBR,THY,1,1204.6,1189.0,15.6,0.0666,186.6
265199003,LTFM,EBBR,THY,2,1194.8,1178.8,16.0,0.0667,166.7
265246542,LTFM,EBBR,THY,1,1194.5,1176.9,17.6,0.0666,400.0
265108308,LTFM,EBBR,THY,3,1187.9,1169.8,18.1,0.1333,333.3
264944102,LTFM,EBBR,THY,0,1188.1,1169.8,18.3,-0.0334,-200.0
265269417,LTFM,EBBR,THY,1,1197.7,1176.9,20.8,0.15,420.0
265066509,LTFM,EBBR,THY,1,1189.5,1168.4,21.1,0.15,420.0
265090703,LTFM,EBBR,THY,0,1191.9,1169.8,22.1,-0.0167,-100.0
265137369,LTFM,EBBR,THY,2,1202.2,1178.8,23.4,0.1334,333.4
264966655,LTFM,EBBR,THY,3,1193.6,1169.8,23.8,0.1833,458.3
265010386,LTFM,EBBR,THY,0,1193.6,1169.8,23.8,0.1245,771.5
265064196,LTFM,EBBR,THY,3,1193.6,1169.8,23.8,0.1648,411.8
264941721,LTFM,EBBR,THY,0,1193.7,1169.8,23.9,0.165,990.0
