ECTRL ID,ADEP,ADES,cluster_kmeans
264870765,LEBL,LEPA,0
264871609,LEBL,LEPA,0
264873734,LEBL,LEPA,0
264874368,LEBL,LEPA,0
264874636,LEBL,LEPA,0
264875280,LPPT,EDDB,0
264875508,LEBL,LEPA,0
264876053,EGLL,KJFK,7
264876075,EGLL,KJFK,0
264877939,EGLL,KJFK,1
264879203,EGLL,KJFK,2
264880318,EGLL,KJFK,1
264880918,LEBL,LEPA,0
264882010,LEBL,LEPA,0
264882695,EGLL,KJFK,8
264883185,EGLL,KJFK,7
264883626,LPPT,EDDB,0
264885469,LEBL,LEPA,0
264885698,EGLL,KJFK,8
264886008,EGLL,KJFK,3
264886812,LEBL,LEPA,0
264888302,LEBL,LEPA,0
264888377,EGLL,KJFK,8
264888478,LEBL,LEPA,0
264888520,LEBL,LEPA,0
264888629,EGLL,KJFK,0
264889674,EGLL,KJFK,3
264891506,LEBL,LEPA,0
264891739,EGLL,KJFK,2
264891876,EGLL,KJFK,0
264892913,EGLL,KJFK,0
264893189,LEBL,LEPA,0
264894314,LEBL,LEPA,0
264894550,LEBL,LEPA,0
264894573,EGLL,KJFK,4
264894650,LPPT,EDDB,0
264894927,EGLL,KJFK,8
264895806,EGLL,KJFK,0
264896573,LEBL,LEPA,0
264896630,EGLL,KJFK,3
264897987,EGLL,KJFK,3
264898445,EGLL,KJFK,0
264898805,LEBL,LEPA,0
264899022,LEBL,LEPA,0
264899035,LEBL,LEPA,0
264899546,LEBL,LEPA,0
264900385,LEBL,LEPA,0
264903481,EGLL,KJFK,0
264904490,EGLL,KJFK,4
264905159,LEBL,LEPA,0
264905364,LPPT,EDDB,1
264905547,LPPT,EDDB,0
264905580,EGLL,KJFK,0
264905671,EGLL,KJFK,4
264905844,EGLL,KJFK,0
264905935,EGLL,KJFK,0
264907402,EGLL,KJFK,0
264907426,LEBL,LEPA,0
264907583,LEBL,LEPA,0
264909106,EGLL,KJFK,0
264910060,LEBL,LEPA,0
264910400,LEBL,LEPA,0
264910458,LEBL,LEPA,0
264912832,EGLL,KJFK,4
264913171,LEBL,LEPA,0
264913269,EGLL,KJFK,4
264914154,LEBL,LEPA,0
264914551,EGLL,KJFK,4
264915171,EGLL,KJFK,4
264915494,LEBL,LEPA,0
264915800,LEBL,LEPA,0
264916722,EGLL,KJFK,8
264917139,EGLL,KJFK,4
264917209,LEBL,LEPA,0
264917664,EGLL,KJFK,1
264918334,LEBL,LEPA,0
264919760,EGLL,KJFK,0
264920495,LEBL,LEPA,0
264921299,LEBL,LEPA,0
264921585,EGLL,KJFK,0
264921981,LEBL,LEPA,0
264923967,LEBL,LEPA,0
264924172,EGLL,KJFK,0
264924742,EGLL,KJFK,4
264925696,LEBL,LEPA,0
264926494,LEBL,LEPA,0
264926560,EGLL,KJFK,0
264927172,EGLL,KJFK,0
264927722,LEBL,LEPA,0
264928113,EGLL,KJFK,8
264928117,LPPT,EDDB,0
264931418,LEBL,LEPA,0
264933191,LEBL,LEPA,0
264934294,LEBL,LEPA,0
264934822,LPPT,EDDB,0
264935668,LPPT,EDDB,0
264936855,LEBL,LEPA,0
264938834,LEBL,LEPA,0
264942800,LEBL,LEPA,0
264943309,LEBL,LEPA,0
264945812,EGLL,KJFK,2
264945824,LEBL,LEPA,0
264946491,LEBL,LEPA,0
264946906,LEBL,LEPA,0
264946983,LEBL,LEPA,0
264947863,LPPT,EDDB,1
264948649,EGLL,KJFK,2
264948655,EGLL,KJFK,2
264949014,LEBL,LEPA,0
264949284,EGLL,KJFK,7
264949422,LEBL,LEPA,0
264949953,LEBL,LEPA,0
264949956,EGLL,KJFK,7
264950074,LEBL,LEPA,0
264950735,EGLL,KJFK,2
264951441,EGLL,KJFK,7
264951712,LEBL,LEPA,0
264952153,EGLL,KJFK,2
264952503,EGLL,KJFK,2
264953373,EGLL,KJFK,4
264954062,EGLL,KJFK,2
264955123,EGLL,KJFK,2
264955320,LEBL,LEPA,0
264956232,EGLL,KJFK,3
264957286,LEBL,LEPA,0
264958361,EGLL,KJFK,2
264959642,LEBL,LEPA,0
264959946,EGLL,KJFK,2
264960968,LEBL,LEPA,0
264961441,EGLL,KJFK,2
264961491,LEBL,LEPA,0
264961552,LEBL,LEPA,0
264961763,EGLL,KJFK,2
264961928,LEBL,LEPA,0
264963191,EGLL,KJFK,2
264963709,EGLL,KJFK,4
264964188,EGLL,KJFK,2
264964233,EGLL,KJFK,3
264966681,LPPT,EDDB,1
264967741,EGLL,KJFK,4
264968263,LPPT,EDDB,0
264971103,EGLL,KJFK,4
264974076,LPPT,EDDB,0
264975863,LEBL,LEPA,0
264977408,LEBL,LEPA,0
264977777,LEBL,LEPA,0
264978262,EGLL,KJFK,2
264978687,EGLL,KJFK,4
264978699,EGLL,KJFK,3
264979770,LEBL,LEPA,0
264979873,LEBL,LEPA,0
264980093,EGLL,KJFK,2
264980690,EGLL,KJFK,2
264982188,LEBL,LEPA,0
264982492,EGLL,KJFK,0
264982866,EGLL,KJFK,2
264983829,LEBL,LEPA,0
264984723,LEBL,LEPA,0
264985473,EGLL,KJFK,2
264987461,EGLL,KJFK,2
264987793,EGLL,KJFK,2
264988109,LEBL,LEPA,0
264988220,EGLL,KJFK,0
264988677,EGLL,KJFK,0
264988763,EGLL,KJFK,0
264989287,LEBL,LEPA,0
264989379,LEBL,LEPA,0
264989589,LEBL,LEPA,0
264989923,LEBL,LEPA,0
264990100,EGLL,KJFK,3
264990200,EGLL,KJFK,4
264992182,EGLL,KJFK,3
264993225,EGLL,KJFK,2
264993330,LEBL,LEPA,0
264993484,LEBL,LEPA,0
264993701,LEBL,LEPA,0
264994119,EGLL,KJFK,2
264994481,EGLL,KJFK,2
264995590,LEBL,LEPA,0
264996310,LEBL,LEPA,0
264996361,LEBL,LEPA,0
264996482,LEBL,LEPA,0
264996518,LEBL,LEPA,0
264996891,LEBL,LEPA,0
264997077,LEBL,LEPA,0
264997975,LEBL,LEPA,0
264998690,EGLL,KJFK,2
264999793,LEBL,LEPA,0
264999952,EGLL,KJFK,2
265000275,LEBL,LEPA,0
265000551,EGLL,KJFK,0
265001314,EGLL,KJFK,2
