ADEP,ADES,cluster_kmeans,n_flights,mean_duration_h,most_common_ac,mean_total_dist_nm,mean_BGGLFIR,mean_EGGXFIR,mean_EGTTFIR,mean_EGTTUIR,mean_EISNUIR,mean_ENORFIR,mean_LECBFIR,mean_LPPOFIR,mean_LPPCFIR,mean_LFBBFIR,mean_LFFFFIR,mean_LFEEFIR,mean_EDGGFIR,mean_EDMMFIR,mean_EDWWFIR,mean_LGGGFIR,mean_LGGGUIR,mean_LIRRUIR,mean_LIMMUIR,mean_LFFFUIR,mean_LJLAFIR,mean_LOVVFIR,mean_LDZOFIR,mean_LSASUIR,mean_EBURUIR,mean_EDUUUIR,mean_LAAAFIR,mean_LYBAUIR,mean_EGPXUIR,mean_BIRDFIR,mean_CZQMFIR,mean_CZULFIR,mean_CZQXFIR,mean_cost_eur,std_cost_eur,n_clusters_od
BIKF,EDDF,0,26,3.283333333333333,B38M,1523.861153846154,0.0,29.33230769230769,0.0,0.0,0.0,329.7357692307692,0.0,0.0,0.0,0.0,0.0,0.0,169.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.14,0.0,0.0,400.41346153846155,995.2330769230769,0.0,0.0,0.0,10068.97,2650.76,2
BIKF,EDDF,1,40,3.2179166666666665,A20N,895.3235000000001,0.0,49.2385,0.0,241.16525000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.65325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5285,0.0,0.0,892.0102499999999,716.43175,0.0,0.0,0.0,10896.49,1812.3,2
BIKF,EFHK,0,29,2.8614942528735634,B38M,1453.268620689655,0.0,0.0,0.0,0.0,0.0,362.8848275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090.3837931034484,0.0,0.0,0.0,7693.65,860.04,2
BIKF,EFHK,1,30,2.9583333333333335,B38M,1759.7859999999998,0.0,0.0,0.0,0.0,0.0,637.0523333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1122.7336666666665,0.0,0.0,0.0,8294.55,1185.37,2
BIKF,EGLL,0,23,2.453623188405797,B753,1047.61,0.0,392.6404347826087,152.20652173913044,294.1347826086956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.5930434782608,502.76304347826084,0.0,0.0,0.0,10289.86,3024.26,3
BIKF,EGLL,1,25,2.5493333333333332,B38M,1331.6876000000002,0.0,805.9612,109.9108,306.32800000000003,266.77479999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.56960000000001,415.81559999999996,0.0,0.0,0.0,10085.72,3223.07,3
BIKF,EGLL,2,31,2.4876344086021502,A20N,872.6454838709677,0.0,0.0,146.60548387096776,298.4670967741935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767.6693548387096,726.04,0.0,0.0,0.0,9507.09,2960.34,3
BIKF,EHAM,0,50,2.6136666666666666,B38M,917.7284,0.0,428.12980000000005,11.2224,474.78420000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.1392,478.37620000000004,0.0,0.0,0.0,9309.3,2147.89,3
BIKF,EHAM,1,29,2.597126436781609,B738,744.6789655172413,0.0,0.0,9.435172413793104,355.36586206896555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833.0741379310346,735.2437931034483,0.0,0.0,0.0,9386.62,2443.38,3
BIKF,EHAM,2,16,2.628125,B38M,1000.27,0.0,0.0,22.66,184.2975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.318125,977.61,0.0,0.0,0.0,9225.66,2228.43,3
