ADEP,ADES,cluster_kmeans,AC Type,n,delta_dist_nm_mean,delta_dist_nm_std,delta_dist_nm_p5,delta_dist_nm_p95,delta_duration_h_mean,delta_duration_h_std,delta_duration_h_p5,delta_duration_h_p95,delta_fuel_kg_mean,delta_fuel_kg_std,delta_fuel_kg_p5,delta_fuel_kg_p95
BIKF,EDDF,0,B38M,12,-33.62,27.78,-74.04,1.42,-0.06,0.11,-0.22,0.08,-127.72,235.4,-467.1,171.32
BIKF,EDDF,0,B752,4,-31.38,40.07,-72.84,11.8,-0.09,0.18,-0.25,0.1,-369.98,723.57,-990.72,403.97
BIKF,EDDF,1,A20N,12,-38.06,10.69,-48.2,-17.04,-0.17,0.15,-0.37,0.04,-388.65,341.55,-861.1,96.11
BIKF,EDDF,1,A21N,3,-49.63,4.51,-53.07,-45.24,-0.2,0.09,-0.29,-0.13,-488.2,230.86,-715.78,-330.13
BIKF,EDDF,1,A321,10,-42.6,18.93,-62.61,-10.85,-0.15,0.14,-0.33,0.05,-407.2,392.22,-925.18,135.67
BIKF,EDDF,1,B38M,6,-43.2,17.29,-56.58,-19.8,-0.1,0.12,-0.27,-0.02,-200.33,251.22,-569.72,-51.0
BIKF,EDDF,1,B752,5,-44.16,28.37,-70.82,-6.8,-0.11,0.11,-0.24,0.01,-456.48,434.18,-976.7,31.96
BIKF,EFHK,0,A319,4,-4.03,2.65,-5.78,-0.84,0.07,0.08,-0.02,0.15,149.98,184.44,-47.57,336.01
BIKF,EFHK,0,A320,3,-7.33,2.32,-9.52,-5.38,0.03,0.12,-0.08,0.13,85.17,303.42,-206.17,330.14
BIKF,EFHK,0,A321,9,-2.29,8.76,-15.2,8.56,0.09,0.09,-0.04,0.19,255.12,253.22,-110.08,529.76
BIKF,EFHK,0,B38M,12,-3.12,5.28,-11.32,3.18,0.07,0.16,-0.2,0.26,139.93,328.33,-424.74,540.75
BIKF,EFHK,1,A319,4,-4.85,6.11,-11.78,0.47,0.08,0.03,0.05,0.11,168.8,61.22,107.92,234.58
BIKF,EFHK,1,A320,1,2.9,,2.9,2.9,0.01,,0.01,0.01,36.8,,36.8,36.8
BIKF,EFHK,1,A321,8,-5.64,9.02,-17.47,6.87,0.06,0.15,-0.19,0.18,159.11,428.92,-528.4,495.08
BIKF,EFHK,1,B38M,14,-1.6,6.67,-13.19,7.29,0.06,0.09,-0.06,0.21,120.54,188.64,-119.11,451.1
BIKF,EFHK,1,B752,1,13.6,,13.6,13.6,0.11,,0.11,0.11,421.1,,421.1,421.1
BIKF,EGLL,0,B38M,6,21.87,7.11,14.4,31.5,0.16,0.12,0.05,0.33,335.43,244.71,100.35,682.52
BIKF,EGLL,0,B752,4,22.83,15.45,8.66,40.52,0.15,0.12,0.03,0.27,600.0,468.41,112.2,1066.8
BIKF,EGLL,0,B763,1,15.4,,15.4,15.4,0.31,,0.31,0.31,1715.7,,1715.7,1715.7
BIKF,EGLL,1,B38M,14,12.5,23.74,-10.0,57.74,0.16,0.13,0.02,0.38,339.0,278.25,46.5,797.64
BIKF,EGLL,1,B752,5,26.86,21.23,1.52,45.68,0.29,0.07,0.2,0.36,1148.68,289.77,790.02,1459.34
BIKF,EGLL,1,B763,3,19.63,10.75,9.83,29.18,0.11,0.09,0.02,0.19,584.1,504.5,114.25,1019.02
BIKF,EGLL,2,A20N,16,25.71,10.99,13.8,43.52,0.16,0.15,-0.07,0.34,362.7,339.48,-159.77,781.0
BIKF,EGLL,2,A21N,3,22.8,6.64,16.58,28.46,0.07,0.13,-0.03,0.21,186.8,335.48,-63.15,515.01
BIKF,EGLL,2,B38M,6,22.57,6.96,15.65,29.72,0.16,0.12,0.01,0.31,329.87,257.86,19.8,660.6
BIKF,EGLL,2,B752,1,20.5,,20.5,20.5,0.28,,0.28,0.28,1118.9,,1118.9,1118.9
BIKF,EGLL,2,B763,4,17.35,8.32,7.32,23.18,0.19,0.19,0.05,0.42,1059.82,1052.36,262.07,2314.78
BIKF,EHAM,0,A20N,6,5.83,6.31,-0.6,14.65,0.13,0.12,0.02,0.3,303.0,265.38,46.25,678.47
BIKF,EHAM,0,A21N,8,7.8,8.11,-2.62,17.75,0.07,0.08,-0.0,0.19,186.36,193.45,-10.97,476.06
BIKF,EHAM,0,B38M,27,8.32,15.36,-9.83,35.67,0.13,0.1,-0.05,0.3,273.96,214.38,-107.0,620.12
BIKF,EHAM,0,B752,4,3.6,13.13,-4.84,19.59,0.06,0.03,0.02,0.09,230.82,124.1,95.86,357.64
BIKF,EHAM,0,B763,2,4.0,8.77,-1.58,9.58,0.11,0.05,0.08,0.14,592.8,272.24,419.55,766.05
BIKF,EHAM,1,A20N,1,-11.7,,-11.7,-11.7,0.01,,0.01,0.01,21.1,,21.1,21.1
BIKF,EHAM,1,A21N,2,5.0,0.85,4.46,5.54,0.07,0.05,0.04,0.1,167.8,117.38,93.1,242.5
BIKF,EHAM,1,B38M,10,7.17,12.12,-10.44,17.36,0.15,0.13,-0.04,0.31,309.8,281.51,-86.92,647.19
