ADEP,ADES,cluster_kmeans,n,delta_dist_nm_pooled_mean,delta_dist_nm_pooled_std,delta_dist_nm_pooled_p5,delta_dist_nm_pooled_p95,delta_duration_h_pooled_mean,delta_duration_h_pooled_std,delta_duration_h_pooled_p5,delta_duration_h_pooled_p95
BIKF,EDDF,0,26,-40.13,29.69,-93.82,7.2,-0.05,0.13,-0.24,0.14
BIKF,EDDF,1,40,-40.49,19.14,-60.54,-4.58,-0.13,0.13,-0.35,0.08
BIKF,EFHK,0,29,-2.51,8.48,-14.94,8.16,0.07,0.13,-0.18,0.24
BIKF,EFHK,1,30,-2.8,8.38,-15.34,9.28,0.06,0.1,-0.05,0.19
BIKF,EGLL,0,23,23.18,15.0,7.75,54.5,0.21,0.14,0.0,0.4
BIKF,EGLL,1,25,15.08,20.68,-4.38,58.86,0.18,0.12,0.01,0.36
BIKF,EGLL,2,31,23.42,9.27,11.5,38.75,0.17,0.15,-0.05,0.45
BIKF,EHAM,0,50,6.61,14.02,-11.46,27.84,0.12,0.1,-0.02,0.29
BIKF,EHAM,1,29,4.6,19.24,-18.42,36.34,0.08,0.11,-0.12,0.23
BIKF,EHAM,2,16,1.09,17.76,-18.58,29.28,0.08,0.17,-0.16,0.32
BIKF,EIDW,0,36,-8.39,17.9,-42.62,17.52,0.04,0.13,-0.1,0.2
BIKF,EIDW,1,18,-21.44,22.98,-41.55,14.47,-0.0,0.15,-0.16,0.29
BIKF,EKCH,0,157,-11.99,10.13,-27.14,1.3,-0.05,0.13,-0.27,0.16
BIKF,ENGM,0,89,-11.39,5.83,-19.6,-2.46,0.04,0.11,-0.17,0.18
BIKF,ESSA,0,62,4.33,9.57,-11.66,15.47,0.1,0.13,-0.16,0.32
BIKF,LFPG,0,18,5.0,21.24,-19.9,33.06,0.05,0.11,-0.06,0.23
BIKF,LFPG,1,25,2.87,15.38,-11.32,32.14,0.02,0.1,-0.13,0.16
BIKF,LFPG,2,40,-1.04,22.8,-29.04,30.78,0.02,0.13,-0.22,0.22
BIKF,LFPG,3,15,0.71,16.31,-10.78,30.08,0.05,0.12,-0.12,0.24
BIKF,LIMC,0,34,-62.43,53.12,-116.12,39.87,-0.16,0.2,-0.47,0.11
BIKF,LIMC,1,17,-73.98,23.53,-98.88,-30.84,-0.19,0.17,-0.36,0.08
BKPR,EDDL,0,41,-68.52,14.47,-86.9,-45.0,-0.11,0.14,-0.28,0.06
BKPR,EDDL,1,24,-61.95,26.13,-86.81,-3.63,-0.11,0.12,-0.26,0.09
BKPR,EDDS,0,40,-46.84,13.9,-66.97,-25.48,-0.07,0.07,-0.18,0.03
BKPR,EDDS,1,30,-54.05,11.92,-67.75,-33.85,-0.07,0.09,-0.21,0.08
BKPR,LFSB,0,61,-72.04,13.78,-89.5,-40.3,-0.13,0.09,-0.25,0.02
BKPR,LFSB,1,53,-82.8,18.7,-111.26,-49.04,-0.13,0.1,-0.29,0.05
BKPR,LOWW,0,21,-41.95,20.86,-66.8,-3.1,-0.07,0.09,-0.18,0.05
BKPR,LOWW,1,45,-41.22,14.0,-64.74,-21.84,-0.1,0.06,-0.19,-0.02
BKPR,LSGG,0,27,-22.73,9.96,-35.36,-9.24,-0.18,0.11,-0.34,-0.03
BKPR,LSGG,1,42,-54.36,11.92,-69.57,-38.95,-0.1,0.1,-0.27,0.03
BKPR,LSZH,0,24,-42.87,10.42,-62.34,-30.04,-0.13,0.12,-0.29,-0.01
BKPR,LSZH,1,78,-41.46,23.32,-65.54,4.3,-0.16,0.14,-0.34,0.06
BKPR,LSZH,2,18,-73.34,44.54,-120.58,-0.83,-0.21,0.14,-0.42,0.02
BKPR,LTFJ,0,15,-38.25,20.37,-55.73,-3.74,-0.11,0.09,-0.2,0.04
BKPR,LTFJ,1,37,-13.09,20.78,-45.26,20.94,0.03,0.14,-0.14,0.24
CYUL,EDDF,0,18,-40.51,30.33,-78.5,12.1,-0.06,0.2,-0.36,0.19
CYUL,EDDF,1,16,-50.12,51.12,-102.3,47.42,-0.1,0.39,-0.52,0.55
CYUL,EDDF,2,25,-53.21,23.9,-83.24,-10.78,-0.1,0.25,-0.44,0.29
CYUL,EDDF,3,20,-30.2,77.45,-92.05,160.92,-0.06,0.23,-0.38,0.22
CYUL,EGLL,0,33,33.43,25.99,4.08,91.96,0.32,0.18,0.06,0.59
CYUL,EGLL,1,31,34.77,38.22,-5.2,114.6,0.29,0.29,-0.07,0.88
CYUL,EGLL,2,23,31.53,53.92,-11.88,144.74,0.27,0.19,0.02,0.54
CYUL,EHAM,0,51,20.69,38.33,-20.25,85.4,0.14,0.25,-0.24,0.46
CYUL,GMMN,0,26,-0.38,31.16,-29.78,46.02,0.05,0.27,-0.38,0.45
CYUL,GMMN,1,44,0.44,29.92,-37.88,62.6,0.06,0.21,-0.28,0.37
CYUL,LFPG,0,21,-5.63,25.28,-43.6,33.4,0.09,0.26,-0.25,0.41
CYUL,LFPG,1,33,-8.17,18.16,-39.48,24.44,0.06,0.23,-0.19,0.53
CYUL,LFPG,2,48,6.18,19.24,-22.42,40.08,0.08,0.24,-0.27,0.57
CYUL,LFPG,3,65,6.65,15.23,-16.42,28.92,0.12,0.22,-0.24,0.49
CYUL,LFPG,4,6,16.27,27.75,-18.15,44.88,0.12,0.1,-0.02,0.2
CYUL,LFPG,5,19,-8.76,115.47,-94.54,297.92,0.06,0.18,-0.21,0.34
CYUL,LIRF,0,33,-33.19,45.98,-94.44,40.46,-0.06,0.29,-0.52,0.43
CYUL,LIRF,1,23,-35.41,47.16,-97.1,46.0,-0.04,0.27,-0.4,0.34
CYUL,LPPT,0,16,-17.74,168.02,-123.5,178.6,0.09,0.39,-0.34,0.6
CYUL,LPPT,1,24,-10.5,41.57,-41.86,29.43,0.08,0.29,-0.4,0.44
CYUL,LPPT,2,28,-14.98,34.05,-52.16,52.44,0.09,0.25,-0.28,0.45
CYVR,EDDF,0,20,-43.89,90.67,-122.54,109.14,-0.12,0.27,-0.52,0.23
CYVR,EDDF,1,18,-84.41,69.45,-151.94,32.39,-0.13,0.16,-0.34,0.06
CYVR,EDDF,2,18,-103.03,53.73,-152.16,20.34,-0.14,0.23,-0.46,0.23
CYVR,EDDF,3,19,-59.09,69.4,-142.69,35.89,-0.07,0.27,-0.35,0.37
CYVR,EGLL,0,16,14.1,42.84,-41.22,80.03,0.21,0.25,-0.1,0.57
CYVR,EGLL,1,22,20.33,19.03,-3.18,45.28,0.24,0.17,-0.06,0.48
CYVR,EGLL,2,21,25.51,25.11,-14.1,68.3,0.23,0.19,-0.05,0.54
CYYC,EDDF,0,15,-36.5,68.94,-119.6,76.17,-0.09,0.24,-0.33,0.23
CYYC,EDDF,1,16,-68.8,40.13,-135.85,-15.88,-0.09,0.12,-0.24,0.08
CYYC,EDDF,2,20,-40.49,54.42,-102.8,55.32,-0.12,0.17,-0.31,0.18
CYYC,EGLL,0,27,29.84,64.19,-26.83,137.62,0.28,0.2,-0.05,0.58
CYYC,EGLL,1,18,6.26,40.91,-46.03,74.44,0.22,0.16,-0.02,0.4
CYYC,EGLL,2,15,4.75,14.16,-17.46,24.76,0.25,0.14,0.06,0.44
CYYZ,EDDF,0,25,-56.13,71.65,-118.88,113.54,-0.2,0.25,-0.54,0.13
CYYZ,EDDF,1,54,-43.93,27.17,-85.6,-2.77,-0.11,0.25,-0.46,0.28
CYYZ,EDDF,2,34,-46.49,38.59,-87.17,35.9,-0.1,0.28,-0.5,0.34
CYYZ,EDDM,0,26,16.62,30.75,-22.08,58.4,0.02,0.36,-0.43,0.72
CYYZ,EDDM,1,17,20.79,20.9,-12.26,47.18,0.04,0.26,-0.26,0.46
CYYZ,EDDM,2,15,12.81,67.88,-53.95,102.89,0.03,0.21,-0.27,0.35
CYYZ,EGKK,0,25,23.26,61.73,-39.46,113.48,0.2,0.29,-0.19,0.69
CYYZ,EGKK,1,14,12.32,39.75,-25.44,90.75,0.11,0.37,-0.36,0.65
CYYZ,EGKK,2,18,21.34,28.72,-10.28,63.86,0.18,0.27,-0.12,0.67
CYYZ,EGLL,0,16,23.32,58.53,-45.68,111.05,0.3,0.29,-0.09,0.69
CYYZ,EGLL,1,39,27.17,27.92,-3.01,65.33,0.27,0.18,-0.02,0.57
CYYZ,EGLL,2,61,29.77,44.26,-18.6,131.7,0.25,0.28,-0.04,0.73
CYYZ,EGLL,3,62,31.9,29.22,0.83,60.76,0.26,0.25,-0.11,0.72
CYYZ,EHAM,0,29,11.08,63.32,-52.54,140.32,0.13,0.24,-0.15,0.55
CYYZ,EHAM,1,32,16.32,17.22,-10.32,47.3,0.12,0.21,-0.1,0.45
CYYZ,EHAM,2,8,16.29,27.4,-11.0,59.08,0.15,0.14,-0.02,0.31
CYYZ,EHAM,3,31,18.72,25.94,-9.5,68.35,0.13,0.3,-0.27,0.7
CYYZ,EIDW,0,22,-12.71,91.97,-77.18,176.86,0.02,0.38,-0.47,0.74
CYYZ,EIDW,1,36,-2.24,27.81,-38.68,36.62,0.07,0.31,-0.26,0.6
CYYZ,EIDW,2,24,9.52,134.05,-84.49,199.74,0.13,0.56,-0.41,0.51
CYYZ,EPWA,0,38,-14.85,30.41,-60.46,35.25,0.0,0.22,-0.32,0.32
CYYZ,EPWA,1,18,-26.55,30.73,-75.72,15.19,0.0,0.23,-0.34,0.29
CYYZ,LFPG,0,32,9.7,19.16,-15.12,43.64,0.1,0.33,-0.36,0.6
CYYZ,LFPG,1,24,6.13,22.86,-24.62,45.4,0.12,0.25,-0.18,0.48
CYYZ,LFPG,2,16,-2.29,43.54,-59.3,79.68,0.08,0.27,-0.32,0.45
CYYZ,LFPG,3,15,3.09,21.47,-29.98,28.15,0.13,0.29,-0.18,0.57
CYYZ,LFPG,4,21,0.17,31.27,-34.8,47.0,0.08,0.33,-0.31,0.84
CYYZ,LIRF,0,27,-31.73,50.44,-90.12,53.05,-0.04,0.29,-0.49,0.38
CYYZ,LIRF,1,20,-34.33,36.29,-84.37,10.9,-0.07,0.25,-0.37,0.33
CYYZ,LIRF,2,16,-22.46,54.04,-91.92,50.7,-0.01,0.28,-0.31,0.46
CYYZ,LPPT,0,36,-8.45,43.87,-52.4,67.68,0.1,0.28,-0.37,0.48
CYYZ,LPPT,1,37,-10.44,29.12,-51.04,36.8,0.08,0.21,-0.22,0.43
CYYZ,LPPT,2,20,-19.23,39.17,-55.87,41.64,0.07,0.24,-0.36,0.34
CYYZ,OMDB,0,19,9.65,63.93,-58.51,140.94,0.09,0.13,-0.07,0.25
CYYZ,OMDB,1,15,31.83,58.32,-28.24,151.93,0.28,0.2,0.04,0.55
CYYZ,OMDB,2,26,23.47,39.95,-51.4,80.4,0.22,0.22,-0.1,0.58
CYYZ,VIDP,0,30,34.86,68.14,-55.38,169.47,0.3,0.41,-0.34,0.88
CYYZ,VIDP,1,30,21.74,91.34,-100.5,186.95,0.06,0.32,-0.49,0.59
DAAG,EDDF,0,30,-21.44,21.97,-52.16,22.0,-0.15,0.12,-0.33,0.04
DAAG,EDDF,1,30,-32.81,24.01,-66.18,5.64,-0.15,0.13,-0.3,0.06
DAAG,EGLL,0,22,12.2,9.17,0.92,30.57,0.08,0.13,-0.11,0.27
DAAG,EGLL,1,28,4.03,9.86,-6.54,20.71,-0.0,0.14,-0.15,0.27
DAAG,LFLL,0,78,16.87,13.64,-5.06,31.54,0.05,0.06,-0.06,0.15
DAAG,LFML,0,124,18.83,24.08,2.2,42.06,0.09,0.09,-0.02,0.19
DAAG,LFML,1,20,7.74,18.17,-10.38,38.12,-0.02,0.11,-0.2,0.14
DAAG,LFPG,0,92,-10.14,11.09,-24.54,7.8,0.0,0.07,-0.1,0.12
DAAG,LFPG,1,91,-13.7,15.98,-32.85,20.9,-0.04,0.09,-0.17,0.12
DAAG,LFPG,2,146,-1.01,15.82,-18.9,28.65,0.03,0.11,-0.1,0.22
DAAG,LFPO,0,176,-0.77,11.28,-15.9,18.45,0.03,0.09,-0.09,0.19
DAAG,LFPO,1,50,4.55,16.34,-14.2,32.83,0.01,0.13,-0.13,0.25
DAAG,LIRF,0,70,-31.42,23.66,-59.82,7.45,-0.12,0.07,-0.21,-0.03
DAAG,LTFM,0,137,-12.94,18.76,-37.4,20.14,0.05,0.13,-0.13,0.26
DAAG,LTFM,1,21,-10.83,36.9,-57.5,45.9,-0.05,0.12,-0.21,0.13
DAAG,LTFM,2,22,-29.69,19.41,-50.06,12.49,-0.05,0.12,-0.2,0.15
DAAG,OMDB,0,21,10.32,10.92,-2.8,25.1,0.11,0.12,-0.03,0.33
DAAG,OMDB,1,30,13.1,15.13,-7.02,34.83,0.19,0.09,0.0,0.3
DABC,LFML,0,59,14.68,15.26,-2.01,44.89,0.06,0.08,-0.05,0.2
DAOO,LFML,0,61,11.36,17.99,-8.9,36.0,0.05,0.1,-0.09,0.19
DAOO,LFPG,0,72,-7.54,22.39,-32.48,26.49,0.0,0.18,-0.17,0.27
DAOO,LFPO,0,57,2.4,35.59,-34.94,67.14,0.01,0.14,-0.18,0.26
DIAP,GMMN,0,55,0.91,24.43,-17.22,44.66,-0.02,0.09,-0.16,0.14
DIAP,LFPG,0,52,2.6,119.45,-78.35,345.38,0.12,0.29,-0.2,0.7
DNMM,EGLL,0,21,13.78,28.71,-10.5,70.0,0.02,0.18,-0.23,0.27
DNMM,EGLL,1,22,13.95,43.31,-23.4,107.98,0.06,0.19,-0.27,0.35
DNMM,EGLL,2,17,18.45,32.18,-6.24,69.66,0.03,0.14,-0.16,0.19
DTMB,LFPO,0,68,2.31,34.7,-20.37,51.76,0.04,0.14,-0.17,0.28
DTTA,EDDF,0,22,-22.1,14.32,-42.46,2.95,-0.11,0.1,-0.27,-0.01
DTTA,EDDF,1,27,-20.22,18.94,-47.52,9.11,-0.13,0.11,-0.31,0.04
DTTA,EDDF,2,19,-24.58,19.06,-52.36,1.24,-0.09,0.11,-0.27,0.04
DTTA,EDDF,3,28,-15.84,20.98,-53.84,17.89,-0.09,0.11,-0.25,0.03
DTTA,GMMN,0,42,-2.06,12.24,-12.88,15.49,0.06,0.14,-0.16,0.26
DTTA,GMMN,1,17,-13.58,13.49,-27.0,9.76,0.01,0.14,-0.18,0.19
DTTA,GMMN,2,43,-41.83,24.69,-74.95,-2.13,-0.07,0.13,-0.3,0.11
