ADEP,ADES,cluster_kmeans,n,delta_dist_nm_self_mean,delta_dist_nm_self_std,delta_dist_nm_self_p5,delta_dist_nm_self_p95,delta_duration_h_self_mean,delta_duration_h_self_std,delta_duration_h_self_p5,delta_duration_h_self_p95,delta_fuel_kg_self_mean,delta_fuel_kg_self_std,delta_fuel_kg_self_p5,delta_fuel_kg_self_p95
BIKF,EDDF,0,16,-33.04,19.77,-63.58,-5.12,-0.07,0.04,-0.15,-0.01,-188.29,155.53,-468.58,-16.5
BIKF,EDDF,1,36,-41.99,9.4,-57.9,-30.38,-0.14,0.08,-0.26,-0.02,-380.12,208.81,-686.02,-54.32
BIKF,EFHK,0,28,-3.45,5.82,-10.23,6.0,0.07,0.04,0.02,0.12,172.55,94.85,35.38,331.9
BIKF,EFHK,1,28,-2.53,6.46,-12.66,6.73,0.06,0.04,0.02,0.12,146.21,104.96,39.42,363.14
BIKF,EGLL,0,11,21.63,7.97,14.35,34.95,0.17,0.08,0.08,0.3,557.09,434.03,168.0,1279.5
BIKF,EGLL,1,22,16.73,19.6,-24.63,38.46,0.18,0.11,0.04,0.32,556.44,406.15,89.38,1215.9
BIKF,EGLL,2,30,23.5,9.47,11.52,39.32,0.16,0.1,0.06,0.35,456.72,418.53,138.25,1041.45
BIKF,EHAM,0,47,7.33,7.42,-2.17,22.02,0.11,0.06,0.04,0.2,272.67,134.55,111.7,465.8
BIKF,EHAM,1,28,5.07,8.96,-11.42,12.36,0.08,0.07,-0.01,0.2,214.22,200.12,-32.74,622.33
BIKF,EHAM,2,16,1.11,14.12,-20.98,15.28,0.08,0.09,-0.07,0.2,208.7,271.45,-158.18,644.65
BIKF,EIDW,0,31,-8.85,23.11,-54.25,23.25,0.06,0.11,-0.12,0.19,199.75,328.09,-377.3,758.85
BIKF,EIDW,1,17,-21.09,23.44,-49.3,21.2,-0.01,0.14,-0.15,0.22,-14.05,342.2,-348.38,582.52
BIKF,EKCH,0,141,-12.01,9.04,-24.8,2.0,-0.05,0.06,-0.14,0.05,-137.6,166.81,-398.9,162.2
BIKF,ENGM,0,87,-11.42,11.31,-35.66,2.53,0.04,0.07,-0.11,0.13,113.36,209.99,-234.92,480.71
BIKF,ESSA,0,51,4.11,11.4,-12.2,21.8,0.11,0.07,0.01,0.21,262.67,184.92,20.75,623.9
BIKF,LFPG,0,13,-1.75,11.02,-18.42,12.64,0.05,0.06,-0.02,0.14,121.22,165.23,-107.18,367.7
BIKF,LFPG,1,23,3.51,15.45,-17.49,36.05,0.01,0.06,-0.08,0.08,46.12,168.96,-193.08,304.77
BIKF,LFPG,2,33,-2.45,18.58,-42.26,22.16,0.02,0.09,-0.11,0.12,55.75,214.74,-255.2,349.64
BIKF,LFPG,3,15,0.74,14.74,-29.89,15.39,0.05,0.06,-0.03,0.14,192.9,255.93,-66.22,611.42
BIKF,LIMC,0,33,-61.12,23.25,-92.52,-23.84,-0.16,0.07,-0.29,-0.08,-458.61,265.06,-758.16,-192.68
BIKF,LIMC,1,16,-73.49,23.78,-101.4,-24.98,-0.18,0.19,-0.38,0.09,-510.44,519.21,-1160.0,207.75
BKPR,EDDL,0,41,-68.54,15.59,-93.7,-40.3,-0.12,0.14,-0.22,0.06,-289.86,328.6,-556.9,150.0
BKPR,EDDL,1,24,-61.91,24.82,-88.6,-10.38,-0.11,0.1,-0.24,0.05,-270.33,255.93,-564.45,141.94
BKPR,EDDS,0,40,-46.8,13.88,-66.87,-25.38,-0.07,0.06,-0.16,0.05,-205.72,173.94,-439.01,126.23
BKPR,EDDS,1,22,-55.74,10.77,-67.15,-36.76,-0.09,0.07,-0.24,-0.01,-226.46,179.41,-594.84,-21.45
BKPR,LFSB,0,59,-71.69,14.37,-90.94,-48.54,-0.13,0.07,-0.24,-0.03,-317.85,183.12,-600.06,-62.48
BKPR,LFSB,1,47,-83.35,18.8,-111.44,-48.56,-0.15,0.09,-0.25,-0.01,-364.81,218.75,-623.98,-20.14
BKPR,LOWW,0,21,-41.95,20.86,-66.8,-3.1,-0.07,0.08,-0.17,0.03,-182.07,210.8,-416.7,93.3
BKPR,LOWW,1,45,-41.22,14.0,-64.74,-21.84,-0.1,0.07,-0.18,0.01,-253.59,172.4,-513.38,33.28
BKPR,LSGG,0,26,-23.32,9.67,-35.4,-13.32,-0.19,0.08,-0.31,-0.08,-424.25,163.18,-630.38,-204.25
BKPR,LSGG,1,42,-54.4,13.38,-69.93,-37.95,-0.1,0.08,-0.2,-0.0,-231.1,163.4,-427.18,-10.96
BKPR,LSZH,0,24,-42.89,10.25,-62.84,-31.44,-0.13,0.09,-0.27,0.0,-318.47,218.08,-649.22,6.31
BKPR,LSZH,1,78,-41.42,23.35,-65.4,4.61,-0.16,0.14,-0.33,0.07,-404.21,340.29,-816.73,165.62
BKPR,LSZH,2,18,-73.37,21.55,-99.74,-41.73,-0.21,0.11,-0.38,-0.08,-535.02,278.37,-956.26,-194.43
BKPR,LTFJ,0,15,-38.29,20.85,-54.7,-2.64,-0.11,0.1,-0.21,0.06,-269.01,241.62,-504.0,148.0
BKPR,LTFJ,1,37,-13.11,20.73,-45.26,20.94,0.03,0.13,-0.13,0.23,72.14,305.24,-317.8,545.94
CYUL,EDDF,0,18,-40.56,24.68,-76.32,-1.99,-0.06,0.11,-0.23,0.09,-329.27,642.6,-1302.8,469.15
CYUL,EDDF,1,16,-50.08,23.96,-80.1,-15.4,-0.1,0.13,-0.28,0.11,-619.57,794.14,-1737.75,632.15
CYUL,EDDF,2,25,-53.16,16.51,-76.88,-24.16,-0.1,0.1,-0.26,0.03,-606.39,592.01,-1613.34,147.56
CYUL,EDDF,3,17,-25.11,15.22,-47.82,-2.96,-0.06,0.08,-0.19,0.05,-342.21,420.0,-1067.0,263.96
CYUL,EGLL,0,33,33.44,13.65,14.6,60.34,0.32,0.09,0.2,0.46,1808.04,512.52,1150.34,2626.26
