ADEP,ADES,n,delta_dist_nm_self_mean,delta_dist_nm_self_std,delta_dist_nm_self_p5,delta_dist_nm_self_p95,delta_duration_h_self_mean,delta_duration_h_self_std,delta_duration_h_self_p5,delta_duration_h_self_p95,delta_fuel_kg_self_mean,delta_fuel_kg_self_std,delta_fuel_kg_self_p5,delta_fuel_kg_self_p95
BIKF,EDDF,52,-39.23,13.89,-61.58,-15.47,-0.12,0.08,-0.25,-0.01,-321.1,212.2,-664.6,-31.25
BIKF,EFHK,56,-2.99,6.11,-12.38,7.0,0.07,0.04,0.01,0.12,159.38,100.01,34.3,344.95
BIKF,EGLL,63,20.81,13.85,7.2,38.48,0.17,0.1,0.05,0.32,509.07,413.19,111.64,1212.9
BIKF,EHAM,91,5.54,9.53,-11.3,21.9,0.1,0.07,-0.01,0.2,243.44,185.67,-31.65,582.6
BIKF,EIDW,48,-13.19,23.72,-53.4,22.92,0.03,0.12,-0.14,0.2,124.02,345.33,-383.48,718.44
BIKF,EKCH,141,-12.01,9.04,-24.8,2.0,-0.05,0.06,-0.14,0.05,-137.6,166.81,-398.9,162.2
BIKF,ENGM,87,-11.42,11.31,-35.66,2.53,0.04,0.07,-0.11,0.13,113.36,209.99,-234.92,480.71
BIKF,ESSA,51,4.11,11.4,-12.2,21.8,0.11,0.07,0.01,0.21,262.67,184.92,20.75,623.9
BIKF,LFPG,84,-0.14,16.03,-30.14,21.65,0.03,0.07,-0.09,0.13,87.74,208.33,-218.13,406.55
BIKF,LIMC,49,-65.16,23.9,-98.08,-23.16,-0.17,0.12,-0.33,-0.03,-475.53,362.88,-1079.36,-63.68
BKPR,EDDL,65,-66.09,19.59,-93.44,-36.08,-0.11,0.13,-0.23,0.06,-282.65,301.86,-564.06,155.36
BKPR,EDDS,62,-49.97,13.48,-67.18,-30.41,-0.08,0.07,-0.17,0.02,-213.08,174.71,-482.39,68.29
BKPR,LFSB,106,-76.86,17.4,-104.28,-45.55,-0.14,0.08,-0.25,-0.02,-338.67,200.09,-624.5,-43.25
BKPR,LOWW,66,-41.45,16.33,-65.58,-21.48,-0.09,0.07,-0.18,0.02,-230.83,186.86,-513.3,45.38
BKPR,LSGG,68,-42.52,19.39,-68.42,-13.5,-0.14,0.09,-0.27,-0.02,-304.95,187.66,-584.05,-38.52
BKPR,LSZH,120,-46.51,23.84,-84.03,-14.1,-0.16,0.13,-0.35,0.03,-406.68,315.05,-864.5,63.25
BKPR,LTFJ,52,-20.38,23.57,-53.2,21.61,-0.01,0.14,-0.18,0.21,-26.27,325.8,-429.94,516.47
